,userName,isEdited,date,title,rating,review,developerResponse
31,shiestyho,False,2018-12-31 05:46:19,Love it.,4,"I love my Ring. The only thing I would like in the next update is the ability to schedule to disable certain motion zones rather than all of them at once. My street gets a lot of traffic during the day so my alerts are constantly going off. I have 3 zones (street, directly on my driveway, and then another with a tree that is always setting off my alerts with the wind). I would like to be able to disable the tree all together and the street part of my zones during the day but have it on at night for security reasons. My doorbell has almost my neighbors entire yard with kids constantly running around. I would like to disable that during the day then on at night. I hope Ring considers this in their next update! Other than that, no problems at all. I do notice my phone takes longer to pop up after motion is detected than my iPad does. My tablets come up almost immediately whereas my phone takes a good 20 seconds. Doesn’t seem long, but it is when you’re trying to check what is going on outside. I’m assuming it’s my phone since the other devices are fine. 🤷‍♀️ I have the Ring Doorbell Pro and Wired Spotlight Cam.",
32,Arlo 1944,False,2020-08-04 13:20:52,Worthless Product,1,"There is truth in you get what you pay for!  I purchased my ring a little over two years ago.  While my home is very modern, it is very old and never had a door bell.  Ring doesn’t tell you, even with the app, if users do not have an existing door bell they will have to buy a chime, and external power pack from Ring.  Oh boy, more money to spend and more time to wait on using something you purchase! Another thing they do not tell you, the thing quits working if someone rings your door bell. Apparently a common issue if you bothers to read feedback comments on here. 

To reset it, users must unplug the “Ring power pack “, wait a minute or so and then plug it back in.  Very much rendering it useless and time consuming.  In addition they do not tell you the lag time it takes the app to open and show video if someone does ring the bell or sets off the alert, plus they have this new feature that makes even that more complicated by opening in past time forcing the user to advance to live.  Now, I’ve change my internet provider and have no way of changing my WiFi setting in the App and when I pull the stinking cover and push the rest it never shows in my WiFi as an available connection so I can add it to my WiFi

Do yourself a favor and spend a few extra bucks and purchase something other than Ring",
33,BuzzFeedFake,False,2019-08-22 20:29:04,$100 for this? Are you serious.,3,"When I first downloaded the app and saw it was at a 3/5 stars I was a bit surprised but now I know why so many people are complaining.

- Iv recently bought the Ring doorbell and I get notifications like crazy. Every couple of minutes or so I get notifications saying “There is motion at your front door” I check and nothing is there. This happens several times throughout the day. In the past 3 days Iv gotten 70+ notifications saying there is motion when there is absolutely nothing. I check every single notification because now I can’t rely on Ring if there actually someone at my door or not.
- Second when there actually is someone at my door I don’t get notifications? Iv recently asked my aunt to take care of my dog while I am away. She comes in and out of the house several times a day and only once I got a notification saying there is someone at my door. When I received a notification it was after she went to check on my dog. I even had to ask her if that was her car in the driveway because like I said before it doesn’t give me notifications when she is actually there. What’s the point of paying hundreds of dollars to secure my home when it doesn’t work?",
34,Mferr84,False,2017-10-02 18:41:16,BUY A DIFFERENT PRODUCT,1,"I’ve had the doorbell for just about a year and a half now. The battery needs to be charged about every two months and has a super grainy image. The actual motion detection and doorbell feature don’t work half the time and go out with out warning. After being told by neighbors the doorbell wasn’t working, I called in to find out the doorbell had been offline for about a week and a half. Not very good security if it goes out and doesn’t tell you it’s out. I called in to fix the problem after getting stuck in an infinite loop of trying to reset the device. Turns out it’s a common problem “that the team is working on”. Thanks for the heads up, glad to know someone could have broken in and done what they wanted and I’d have been none the wiser. They have no idea when the problem will be fixed but it will “automatically fix itself” after an unknown amount of time. Not sure how the device will update itself when it can’t connect to the network but sure, ok. They basically brushed me off the phone and said sorry, not sorry. Thanks for the $200 paperweight Ring.... I’ll be going with a better product and a company that cares about its customer security next time. With so many options on the market please do yourself a favor and go with a different product and a different company people.","{'id': 1423603, 'body': 'Hello Mferr84, \n\nI am so sorry to hear about your poor Ring experience, this is not the experience that we intended for you to have. I see that you noted being in contact with our Customer Support team, with that being said, I would like to step in from here. I would greatly appreciate the opportunity to connect with you directly so that I may take a further look at why your Ring device went offline. Your safety is our number one priority and I would like to ensure that you are getting the security you need. If you would be so kind as to contact me directly at Kaitlyn.rosenthal@ring.com I would like to get to the bottom of this ASAP. \n\nThanks, \n\nKaitlyn R., Neighbor Satisfaction Specialist\nKaitlyn.rosenthal@ring.com', 'modified': '2017-10-03T21:28:44Z'}"
35,RobbyLeeRose,False,2022-04-10 14:47:39,"Thought it would be great.  It’s good, not great",3,"We’ve been using Ring devices, and the app for about 1-1/2 years. We have multiple hardwired motion cams, and the video doorbell. Most of our doors and windows have no issue, but 1 door constantly requires new batteries. If they last one full month it’s shocking. This becomes annoying (and pricey!). This is been going on for at least one year.  I’ll be reaching out shortly to see if perhaps it’s a defective device.

As others have stated, connectivity is often poor. We have high-speed fiber Internet (speeds come up great on testing) along with a plume system. We also have ring’s extender. Still have trouble. Motion lights flicker. Annoying and can’t figure out why.  Videos are good but if you’re trying to identify someone, good luck! Too grainy.

Finally, the app doesn’t allow me to pause notifications for more than 4 hours at a time (iPhone). This is quite annoying. There’s often activity around our home that is caused by family, friends, workers, etc. for an entire day. Why can’t I pause for 24 hours if I choose to? It’s the combination of these things that earned Ring only a three star review versus five stars.",
36,D. Len,False,2022-02-18 12:50:36,Not always dependable,3,"I have been a great fan of the ring doorbell however it is really annoying me to the point of wanting to pull it out and replace it. The history is so sporadic i cannot depend on it! It always seems to not hold the history when i need it most. I have reinstalled the app, reset the doorbell, reset the internet, turned on and off the settings. It works for a day and then goes back to no history. Also, my doorbell has started talking letting people know it’s recording. THIS IS SO ANNOYING!!  I googled the problem and thought found the setting and turned it off. Still does it. My kids are now even afraid of the doorbell. So weird. I had to completely turn off notifications. I cant figure out what all the little motion buttons are in the settings. They were all green and i slid them all to off then tried to figure out if that would shut off this feature. No description if what these do when they are on or off. I had to turn them all off to get it to stop. Now i get no notifications. Then why have it??? Please fix these bugs. We actually install these for customers. I will not recommend any longer. Sad I used to love it.",
37,jakelee1993,False,2019-07-08 03:50:28,Wonderful concept! Just one quirk...,3,"The app is very intuitive and works just the way I need it too (with the exception of some people posting things that aren’t a security concern [one person posted a video of it snowing in my city two years ago because it was pretty... Really?]). The only problem is when I go to look at either my floodlight camera or my doorbell camera from a notification that I get on my iPhone, it never works... the app never gets to showing the actual video of the camera in question. It stays on a loading screen with a blurred image of something recorded on the camera previously. When I press the red “hang up” button (downwards facing phone symbol) and manually try to view the camera again, however, the camera works. This retry works 99.9% of the time. I don’t think it can be a coincidence. It now takes too long for me to view something potentially dangerous. I’m not sure if the problem is with the camera or the app, but because I can always view my camera the second time I try to open it, I’m going to blame the app. :-( So i can’t give this app more than a 3-star rating. Would definitely change this app rating to 5 stars if this were fixed, however!",
38,jstattman,False,2018-10-12 17:28:49,"Live Video Lags after ring, HomeKit never coming",1,"I have owned one of Ring’s best product offerings in the ring video pro. The problem with Ring is 1.) they ALWAYS promise features and updates that never show up. For example, If you own an iOS device and keep falling for Ring’s baloney “we are working on HomeKit” story just keep in mind they’ve literally been saying that for almost three years and they haven’t even been testing HomeKit in public beta yet so it’s not showing up anytime soon. 2.) The most important function of the camera is the ability to quickly access the video when there is motion or someone rings the doorbell. For some reason, whenever either of those events happens, the live video freezes up and won’t let you access it. I believe this is because the camera starts automatically recording (which is good), but it’s incapable of recording and letting you access the live feed at the same time. It’s extremely inconsistent. What is the point of this if you don’t get to see and talk to the person until two mins after the event? So bad. And it’s NOT my internet connection. I have several other far better WiFi cameras in that area of the home that works flawlessly and I have a 1,000mbps internet speed (regularly 300+ over WiFi). 

Ring over promises and under delivers. Save your money!",
39,wester,False,2018-10-04 09:21:12,Too many pixels,2,"We received the Ring doorbell through our security Company and had it installed professionally. The ring door bell has too many pixels in the pictures or images that you see on the video. I don’t understand why there is a wide range option up to 30 feet when you cannot clearly see a face without thousands of pixels blocking an image. Especially at night on the Night vision we just can’t see whatever the sensor is picking up clearly. We know there is someone there but we cannot see the face just a bunch of pixel blocking the image and face that is there. Unlike the advertisement on television where there is a perfect image day or night of people trespassing and talking to you through the ring doorbell but in reality that is a lie you cannot see people clearly like that and then the mic is not that clear either when talking to someone.
And We just don’t understand why there is an option for the sensor to span out to 30 feet when you can only see a bunch of pixel images or face. Were is the security protection in that? The police cannot help you if they cannot see a face The only time you can see a clear face or image of someone on the ring doorbell is if the person is 1 to 4 feet up on your mailbox or ring doorbell. Unbelievable!",
40,Hayxfg76,False,2019-08-17 14:07:22,Ring missing basic features,5,"Giving only 3 stars for missing features that I have been asking through emails, Twitter, Facebook and phone calls for almost two years! One basic one is ability to turn off or at lest snooze recordings. Currently it is a nightmare with tons of videos both ring doorbell pro and floodlight camera is producing. I taking about my activities like cleaning the front porch, daily watering my plants, or just hanging out on my own porch - I don’t want to be recorded, I don’t need additional 100 videos for that hour. The same with my backyard floodlight camera. Cutting grass, any yard work, any activity my own produces 100s of videos to manage and sort through. Ring doesn’t have time to add feature to add ability to better control recordings but do have time to add linked devices!! I tried it and guess what now both of my cameras produce twice of junk videos instead of 200 videos now I’m getting 400. Ridiculous, seriously I’m thinking about switching to different product, I hope ring support is reading this review!!!!",
41,Frank1777,False,2019-04-14 17:11:08,"Unreliable product, bad customer service. Don’t buy.",1,"Have had multiple problems setting up devices. Had them working intermittently. We have one doorbell and 2 chime pros.  Originally the doorbell would open to view a person at door when they rang and I could talk to them. Then we lost that ability and they wanted us to pay extra for that. So I accepted just having a doorbell and not able to see or talk to someone. But the doorbell and chimes keep disconnecting themselves. And when I last has it working, the connection for voice was scratchy, inconsistent, one-way and basically useless. 

The core problem for me is that the product is continually unreliable and I have spent hours trying to get things reconnected. Calling customer service has been a poor experience. They are not patient. They redirect me to the instructions, which I have already tried. I am an older man and they have not taken time to walk me thru things to completion. Even my children have had problems helping me and we were ultimately unsuccessful.  If RING only wants millennials for their product, fine. But this type of product could be very helpful for older people for many reasons. However, not if the product is unreliable and the customer service is so poor. In fact, I can’t recommend it for anyone of any age.",
42,SirVernon,False,2018-12-02 02:18:45,"Great Idea, poor support, and mediocre product!",2,"When I first got the ring doorbell I was beyond pleased with the idea of what it offered for the price. After installing learning about the monthly fee for something that seemed to me implied with original purchase. I paid over $100, I don't remember exactly but would have tolerated surprise small monthly fee etc if it was reliably fuctional. Mine only works half the time and the battery life is poor at best. The failures are literally across the board, with the most consistent and frusterating LAG!!!! For example I'll come home with grocies and come through the front door with my ring doorbell; literally I've almost out all groceries away by the time I get the notification of motion detected. Those 2+ minutes could be very crucial in am emergency. Which brings me to my final complaint they should update software so that the devices registered as ""owners don't set off the notification bcbitnknowsnits you. I don't usually leave reviews and even fewer negative ones I just feel like potential customers ought to know. With modern technologies are given the opportunity to improve and adapt their product through software updates and unfortunately""Ring,"" seems to have not only missed the opportunity but gotten worse!",
43,Rb3992,True,2018-03-29 15:50:38,Latest ring update!,1,"I installed the latest update and this is absolutely horrible! It had worked perfectly at door location and without any changes...unchanged router/network or devices. All kind of issues. It starting draining battery even though it was hard wired. I took off connection and charged 100% but it drained down to 70% in a couple hours. It wouldn't detect motion nor could you ring the doorbell..I called ring support and had to remove device reset and then reload on iPhone...very nice but it took at least 20min. It is now charging at door but wireless signal is poor. The reset made it work briefly then now it's back to poor signal and can't view device. Even when you can get a view on the camera it is very delayed and pixelated. I have 3 other camera none of which are having issue. The other camera devices were acquired prior to ring and considering switching if this is NOT fixed ASAP. Just wanted to warn everyone prior to agreeing to update. Is this an attempt for the company to try to get users to buy new devices....sort of like apple slowing down iPhones.. just wondering...
Now doorbell won't connect and battery low and not getting email alerts as support promised would happen. Looking for new camera door bell and will place complaint with BBB. Any recommendations on new devices?","{'id': 2964041, 'body': 'Hi Rb3992, \n\nI am so sorry to hear about this poor Ring experience. This is by no means the Ring experience that we intended for you to have. While I do see that you mentioned already working with our Customer Support team, I would greatly appreciate the chance to connect with you directly. I would like to investigate the issues that you are encountering with your Ring app so that I can provide you with the best possible resolution. Would you be so kind as to email me at Kaitlyn.rosenthal@ring.com? \n\nI would like to get to work on improving your overall Ring experience today. \n\nKaitlyn R., Neighbor Satisfaction Specialist\nKaitlyn.rosenthal@ring.com', 'modified': '2018-03-29T15:50:38Z'}"
44,Bonded & Secured,False,2021-09-12 07:08:05,This App is absolutely HORRIBLE!,1,"First the video of clearer than other cameras I have. Finally & most importantly, this app is awesome if you randomly want to get no sleep.
At this moment,  the notifications are coming every 2 to 4 minutes (LITERALLY) with the sensitivity set to minimum and my zone set to cover barely anything.I just snooze notifications.
So… I have the Ring floodlight camera. Initially the cars going past were what was setting it off even with the temporary subscription. 
Last complaint: I did NOT purchase the subscription because I was disappointed that I was not aware I needed something separate before I bought this. At the time my other cameras from their competitor was NOT like that. I saw it as greedy money grubbing when they could have just included a reasonable subscription in the price. Who besides me wants the camera without at least being able to see the video for 1 day, 1 minute, 1 second? It is ridiculous and makes no sense to sell you something with that price tag & such high expectations that you will NOT be able to use for it’s intended purpose … except I have another security system and mainly needed the motion detection floodlight (which by the way, flicks my neighbor every 2 -4 minutes at night)… Wish you well with that.",
45,Flognogger,False,2018-10-21 07:40:35,Won’t update and lags,2,"I have one of the very first Ring doorbells and have been using it for a good while. I loved this app and device when we first bought it and recommend it to many friends. For the past six months or more, it lags like crazy. I thought maybe it is my WiFi but after reading reviews (and checking my WiFi setup and speeds many times), I’m convinced it’s an app problem. I have turned my app notifications off for the last 3 months because it does me no good to get a doorbell notice and not be able to respond to someone at my door because it’s refreshing and unable to catch up. By the time the video starts playing the person is gone or leaving...same with motion detector mode. I also receive notice about an update for the app every time I open the app but the app seems unable to update—starts and never completes. I have an iPhone X with newest updates so it’s not because my phone is too old. This app is not well supported on the development side. Needs to improve or this product will go away. I’m currently looking for a better alternative. Disappointed because I was completely sold on this product and was considering expanding into the other products until it went downhill. Glad I didn’t waste my money.",
46,MoGrizza,False,2020-04-05 23:30:26,"devices are excellent, app is getting worse",3,"The Ring devices I’ve had over the years have been excellent.  I had my doubts about solar powered cameras in winter but I’ve only had to swap batteries one time.
The app on the other hand, which is what this review is about, has gotten progressively more complex, annoying and cumbersome.  Internal ads (for “new features”) distract from real camera views.  You told us once about modes and motion verification, we don’t need to see a reminder about the “great new features” every time we open the app.  The device settings screen now has more tiles than fit on the screen without scrolling.  Either organize this stuff better or let us remove things we don’t personally need - for me it would be “mode settings”, “linked devices”, and “shared users”, for others might be something else.
And the message to “Add a Ring solar panel to Extend Battery Life” (their caps not mine) continues to appear for cameras *which have a solar panel attached*.  Is there anything more useless than that?
If this keeps up, after another few updates I’ll revise this review down to two stars.  It’s a shame, you’d think they could afford to hire app developers who have some sense.",
47,GribbleFlotz,False,2020-04-04 20:43:32,Works pretty well with one bug,4,"I’ve been using a Ring doorbell for 3+ years and have been happy with it and the app until today. Today I went to the website and changed my password. After changing out the website immediately logged me out, so I logged back in using the new password. Everything worked as I expected. Then I opened the app on my iPhone and it also asked me to log in again. I tried repeatedly, but consistently was told “invalid credentials” and after a few tries got a new email asking about the failed logins. So I logged into the website again, with no problem.

After thinking about the situation I decided to try a different password, one with no special characters in it. Now I can log into both the website and the app. Why do you accept a different set of characters in the passwords used on the website and app if you’re going to share the same password between them???

For what it’s worth, the characters ^$@! work on both. On the web you can use an asterisk (*) in your password, but then you won’t be able to log into the app. Why do you permit that without a warning?",
48,debbiesden,False,2020-03-11 16:39:52,Ring 2 upgrade disappointing,2,"We upgraded to the ring 2 and have more trouble with this one than we did the older model.  The voice function is worse and barely audible, it has large gaps and delays and sometimes just doesn’t pick up a thing for hours. It is vital for us to have this work for protection of our Airbnb guests and our property.  It seems that almost every time we’ve caught something that needs reported to Airbnb the video stops working and won’t pick up a good portion of it.  Recently we had an attempted break in and our front door lock ruined.  The ring picked up the activity around 10 pm with showed them messing with the door but then the ring had a long gap of no activity and it never picked up them leaving or any further activity until some dog ran through the property 4 hours later.  So much for security.  We’ve lost income due to the ring not functioning like it should because Airbnb won’t reimburse without a video or picture.  
The first ring never shut up &  captured every fly or moth but had a good picture and voice.  This new ring just times out of the blue, delays to record before or after, the picture isn’t as clear as the first one and just got forget being able to hear any voices clearly.",
49,oldschool1975,False,2019-01-15 11:27:18,"way too slow, just doesn’t work that well",2,"my ring devices and app NEVER work when i really need them to. i’ve had my ring doorbell and driveway floodlight camera for over a year and i still have not even once been able to answer the doorbell ring with my phone. 
at least ten times i’ve pulled out my phone to see ‘someone was at your door’ or ‘you missed a ring’ or some other nonsense. i bought a new iphone and router when i bought the system so it’s not my phone or connection. it’s like another review says maybe it’s the way ring buffers when it opens? i don’t know about that. 
and also, seems like it only records motion i don’t care about. every time i want to see who got out of an unknown car in front of my house.....nothing. 
and the neighborhood comments are only good for spreading fear. what a joke. we are creating a society of worried watch out for that car driving by your house nellies. ‘reports of a fire in the area’. okay, don’t we have a fire department? like, reports of clowns running around the neighborhood. there were no clowns people. 
i have countless hours of recordings of random cars driving by my house. when i really want to see something....good luck, the ring misses it. ring is just another frustrating phone app.",
50,NoDisassemble5,False,2019-01-13 02:49:53,Not good for Night Video,2,"Ring makes a decent product for Alerting you of motion, 2 way convo and Day video. However for night video the ring is seriously lacking. This is why I purchased the ring because of frequent vehicle and home break ins. I wanted to be alerted when there was a motion and to share the video with authorities and neighbors when needed.  This night video is a complete joke.  The video is pink when it should be black and white. (Google “Ring pink video”) I’m not asking for clear color at night. But the option to manually set color or black and white would be great. At least black and white.  I opted for a real 4K security camera with a built in microphone and records to an as card. No monthly/yearly cloud storage which ring banks on again. It also alerts me via mobile app of any motion and allows me to save crystal clear video and audio to my phone for sharing. I’ll use the ring to scream at them seems to be all it’s good for. Their support is also worthless. Asking for tons of info and never getting the issue resolved.  Over a year of “the next update will allow this or that” they just read or type from a script no real resolution.  Don’t waste your money on this product.  Buy the Nest Hello or a real security camera.",
51,Nameless201,False,2018-04-16 07:13:37,Picks up vehicles but not people??!!,2,"We have had the doorbell since January, and have waited to leave feedback hoping it would get better, however, sadly, that is not the case.  First of all, it was well into February before we could even use it as it was “too cold” where we live!  After the weather warmed up to an acceptable temp, we tried again.  The Ring doorbell is supposed to be designed to NOT pick up vehicles, except for very large ones, however, on multiple occassions delivery people and solicitors have walked all the way up to our door and left before it ever picks them up, and we can pull into our driveway and pass the front of the house before it alerts, yet every single vehicle that passes on the road is picked up??  It has become so unreliable that it is of no comfort knowing we have it.  The only thing that works reliably is the doorbell feature, I didn’t pay $200 for a bell !!!   On the occassion it actually records activity, in the daylight, it is bright white for several seconds before the camera focuses, so by the time it engages, all you see is the person’s back as they are walking away! At night, unless there is a light on, all you see os black, picks up nothing but darkness!  So VERY disappointed with this expensive doorbell !","{'id': 3163373, 'body': 'Hi Nameless201, \n\nOh no, I am so sorry to hear about this less than excellent Ring experience. The way the motion detection on the Ring works is by heat detection. Setting your range this low makes your Ring look for a very large heat signature before it will notify you. Setting up the motion detector does require a bit of maneuvering to find the sweet spot, however we can assist you with honing these settings to make sure you receive the alerts that matter to you. Would you please email me directly at Kaitlyn.rosenthal@ring.com? \n\nI would appreciate the chance to improve your Ring experience. \n\nKaitlyn R., Neighbor Satisfaction Specialist\nKaitlyn.rosenthal@ring.com', 'modified': '2018-04-17T17:28:37Z'}"
52,Mellowyellow5,False,2017-11-16 21:41:36,Ping to phone,2,"If you’re upload speed is less than 5.00 u will not get a ping to your phone . Though you’re camera and flood lights will work but won’t notify you , and that’s the whole idea off this Camera Cam . If you’re having a problem your net work speed is to slow ! PS Do not use a Pro Chime that they offer for free , this will use all your internet speed and shut the camera cam down from working ! The chime alone they offer u for free is good and works but only if you’re internet speed upload is at least a range of 5.00 . I have that speed now that my carrier gave me for free . Though I have the speed I still had to move my modem closer to the camera cam . They sent me a replacement Camera cam after the Pro Chime stopped it from working! But good luck sending the old one back if you’re printer is down. I asked for a return label for 15 days to be mailed to me , and got sure no problem, I had to go to STAPLES and print the label ! Nice people at this new Ring company, but all the did for me was YES me to death ! Finally got it working, but would never purchase another item from them again , 2 stars for customer service keeping there promise. Check your internet speed before you purchase anything from this Ring company !","{'id': 1782607, 'body': 'Hello Mellowyellow5, \n\nOh no, I am so sorry to hear about this poor Ring experience, this is not the Ring experience that we intended for you to have. I would greatly appreciate the chance to connect with you directly so that I can personally ensure that your Ring device is up and running smoothly for you. Would you be so kind as to email me directly at Kaitlyn.rosenthal@ring.com? \n\nI would appreciate your time. \n\nKaitlyn R., Neighbor Satisfaction Specialist\nKaitlyn.rosenthal@ring.com', 'modified': '2017-11-17T19:25:12Z'}"
53,MariaOka,False,2021-07-06 23:38:54,Still bugs to fix,3,"The app works great for most Ring devices, but still lacks support others like the Ring Transformer for landscape lights. For example, the app allows you to group Ring outdoor cameras with the Transformer in a single lighting group, which enables the Transformer to light up when motion is detected on the camera. This is a really handy feature that allows you to coordinate all of your lights on the camera’s motion detector. However, the camera’s lights automatically turn off after a short time and, when they do this, they also force the Transformer to turn off the landscape lights, thus overriding whatever turn-off schedule you have set for them in the app.

This is clearly a flaw.  The app should prioritize the lifting schedule first and the landscape lights should only turn off and on with the camera OUTSIDE of the hours it is already scheduled to be turned on. Ring should fix this bug or, alternatively, give the user more options for specifying when the Transformer should respond to the motion detected on the camera.

The fact that this bug exists makes the Transformer feel like an orphaned product.",
54,EmtinHawaii,False,2020-08-29 15:37:23,It was a 5 until Ring had a crash and then update their system!,1,"Yesterday Ring had some kind of major crash and I can understand that these things can happen.  But what I don’t like is that Ring decided to change things and NOT let anyone know what they were going to change.  My MAJOR issue is with the dashboard preview.  Before this I could be in “Home” mode and I could use the preview to look what was going on around my house and also to check how my son was doing playing outside(He is 8 and we have an enclosed property).   Now I have to either change the Mode to “Away” and trigger the motion sensors and have my entire house chiming just to either see what’s going on around my house or to just check on my son.  
The ring app for my family and I WAS perfect!  It was to use and espically how USER FRIENDLY it was!  I hope that Ring will change that what they did with that “Home” feature and let us just open the app and there would be a few screens showing what was going on outside.  And the next time they decide to “update” their system and make changes, I hope that they would tell use first or get an opinion On what we think about what they would like to do.  It’s OUR sense of SECURITY and OUR SECURITY that Ring has to take into account when making “updates”.","{'id': 17633173, 'body': 'Hi neighbor,\n\nThe way they can fix this is by going into settings for Modes for that Location (hamburger > Settings > Modes > Home > Cameras and, for each desired camera, enabling “Motion Detection.” That should allow them to see snapshots on their main dashboard again. If you are still experiencing issues after this has been done, please feel free to reach out to us directly at https://community.ring.com/ or call us at 1 (800) 656-1918 for further assistance.\n\n\r\nAll the best,\r\nRing Team\r', 'modified': '2020-09-01T18:26:17Z'}"
55,Edennerose,False,2018-07-28 05:12:39,Needs more features and better organization,3,"First things first this app needs a panic button. Don’t do anything else until this has been accomplished. Most people are going to keep their phones on their bedside table, not a keypad. How is this most basic feature missing? Secondly the app is not at all intuitive. It takes forever to perform common tasks. I should be able to view and modify which sensors are active in which mode directly from the dashboard. The mode buttons are RIGHT THERE. No, they want me to be sure so they made the process take 95 steps. And how come I can’t change the chimes for the entire system? It had to be individually? Really!? I have 14 windows and 3 doors in my house. For heavens sake. The activity logs are individual as well. And please don’t get me wrong there should be an option to view each sensor’s log individually but it would be extremely convenient to be able to view a list, and to sort for what I need. I could go on but it’s 1 am and I’m sleepy, plus you get the picture. Make it better. I know it’s a new system and app but this stuff is obvious. Especially the panic button. It’s a good start. Hurry up with an update.",
56,DaPanda420,False,2018-01-14 00:27:55,Was great,2,"The app has always been a little slow. Not a big deal. It also interrupts your music even if you don’t watch a video which is a little annoying. I rarely get push notifications about a low battery till I pull the app up and then all the sudden a notification comes through (yes push is enabled and background app refresh). Since Ring has opened this to the public, even without ring, it’s a joke. I get daily neighborhood notifications from the paranoid recluses that live in bomb shelters. They post comments like “the leaves on my tree were moving but there was no wind”. People now are posting videos of solicitors. Not to mention when something’s actually happening people don’t post cross streets or a general vicinity so somewhere in my 12 sq mile neighborhood somethings happening. I use to appreciate the helpful videos with actual crime prevention. Now I have to shut off these notifications because they are so frequent. This started great and is just going down hill. Of course there’s a delay in recording from your camera (even with the motion recordings) so you tend to get the back end of someone or nothing at all when it really matters. You’re better off getting an actually CCTV system if you’re concerned.","{'id': 2319189, 'body': ""Hi DaPanda420, \n\nI am sorry to hear about this poor Ring experience, this is not the Ring experience that we intended for you to have. At this point, I would like to step in and personally assist you. It is imperative to me that you receive the best possible Ring experience and I would personally like to make sure that we do this for you. The delay is normally attributed to WiFi/bandwidth connection but we'd be happy to further investigate this for you. Would you kindly reach me at Kaitlyn.rosenthal@ring.com today so that we can improve your Ring experience, please?\n\nI would appreciate your time. \n\nKaitlyn R., Neighbor Satisfaction Specialist\nKaitlyn.rosenthal@ring.com"", 'modified': '2018-01-16T19:55:42Z'}"
57,Milagro in San Diego,False,2020-08-26 17:28:25,Posted concern to neighbors was deleted by staff,1,"We have a number of cameras around our property in an urban area of mostly single family homes. In the past several months “protests” have come very close to our home. Family and friends nearby have experienced property damage, theft, threats and intimidation from “protestors.” Around the country violent and aggressive groups are taking their activities into residential neighborhoods. Around 12:30am a couple nights ago a vehicle with a bullhorn drove down our street. We woke up, but I didn’t catch what they said. All I caught was the word “incomng.” I went to the ring app and posted an “unusual activity” asking if anyone heard what they said because I was afraid for my family given ongoing tensions. I received a notification the next day that staff decided my post wasn’t of interest to neighbors and deleted it. I responded upset saying I was concerned for my family’s safety. They responded,”We’ve reviewed your post and we that it’s not quite right for Neighbors. We need to ensure that posts focus on issues that affect the entire neighborhood so that everyone can benefit from local crime and safety information... We hope you understand our decision and continue to engage with your neighbors in an effort to create a safer environment for your local community.”",
58,GenoTheDog,False,2019-12-09 21:20:44,Pretty good but too slow,1,"Edit: the rapid ring app is a huge improvement but I still have to give ring 1 star for reliability. Notifications stopped coming to my phone altogether. My chime pro failed. What’s the point of a video doorbell that doesn’t notify you when someone is ringing it? Ring needs to halt all new product development and put all effort toward fixing their buggy software. The core experience is broken. 

Old review: As others have said Ring needs to work on the core experience of using the app before adding features. When you click a notification or answer the doorbell it is a minimum of 10+ seconds before you get a picture. I always find that I can just walk to the door faster than I can load and connect to the Ring app. I have an iPhone XS Max and 150mbit fiber with Ubiquity WiFi so I know the lag isn’t due to my hardware or connection. This core experience is one of the most important parts of the product and Ring needs to improve it before I can really recommend their cameras. The slow response time really makes the doorbell and cameras pretty useless for any real time monitoring and communication. The recorded video and motion detection parts work well, but Ring markets these things for their real time functions and that part doesn’t work very well.",
59,Lamar.Fandango,True,2018-06-11 00:21:24,Product isn’t ready for market,1,"Update: product is now worse. This company has figured out that cheerful customer service is cheaper than selling a product that works. Now that there is competition, and the Nest actually works, there is no reason to waste your time with the Ring garbage. Here’s the thing: people really, really, really want this to work. But like asking for a birthday pony, it isn’t ever going to happen. This company will take your money, spend hours on customer service calls, then blame the internet for the Ring Pro’s failures. Hopefully an attorney will sue this company.

Old review.....Warning: it takes 20 to 30 seconds from when someone pushes the doorbell until you hear it on your phone. By then, they’re gone. The video function is spotty and the device needs troubleshooting every 2-3 days. Many times it doesn’t start recording until after we’re in the door or the person has left. 

I’m sad to say that after spending hours dealing with this device, it just isn’t ready for prime time. Save your money. The doorbell doesn’t work, video doesn’t work, doesn’t consistently connect to wifi, the motion detector is junk.......This company needs to be sold to a company with sufficient capital to make the necessary capital improvements.","{'id': 1643408, 'body': 'Hi Lamar.Fandango, \n\nI am so sorry to hear about this unfortunate Ring experience, however, I would like to step in and help. If you would be so kind as to email me directly at Kaitlyn.rosenthal@ring.com I would appreciate the chance to personally investigate the connectivity issues that you are experiencing. It is imperative to me that we get your Ring device performing at its best and I would like to make sure this happens with no further hassle for you. \n\nI would appreciate your time. \n\nKaitlyn R., Neighbor Satisfaction Specialist\nKaitlyn.rosenthal@ring.com', 'modified': '2018-06-11T00:21:24Z'}"
